delivery_id,order_id,delivery_status,delivery_time,rider_id
1,658,Delivered,0:11:00,1
2,111,Delivered,11:00:15,6
3,8481,Not Delivered,11:21:28,6
4,4634,Delivered,9:33:59,4
5,8699,Delivered,0:38:11,13
6,2031,Delivered,12:09:24,4
7,2844,Delivered,7:38:05,13
8,4074,Delivered,22:20:42,3
9,3060,Delivered,23:12:11,6
10,8260,Delivered,18:15:50,12
11,2359,Delivered,21:32:17,6
12,4928,Delivered,12:38:25,7
13,228,Delivered,7:48:16,9
14,1325,Delivered,14:28:45,11
15,6422,Delivered,23:19:38,3
16,4938,Delivered,17:31:40,1
17,3439,Order,12:45:12,3
18,3939,Delivered,17:16:55,12
19,2416,Delivered,23:44:29,15
20,7023,Delivered,9:50:47,8
21,5889,Delivered,23:51:28,4
22,8831,Delivered,20:39:44,15
23,7514,Delivered,11:38:46,6
24,4113,Delivered,0:23:00,5
25,1111,Delivered,20:39:09,7
26,4992,Delivered,14:10:07,4
27,1989,Order,1:16:00,14
28,3123,Not Delivered,21:14:05,3
29,896,Order,13:23:22,20
30,1431,Delivered,17:23:38,1
31,7971,Not Delivered,22:36:32,5
32,6212,Order,14:00:42,8
33,2171,Delivered,19:20:18,15
34,197,Delivered,4:55:17,1
35,687,Order,5:05:31,11
36,6451,Order,21:16:58,5
37,2062,Order,20:28:36,5
38,5395,Not Delivered,8:13:45,7
39,3862,Not Delivered,15:08:05,17
40,3896,Order,6:26:35,18
41,1285,Not Delivered,17:43:41,20
42,6285,Order,2:36:55,2
43,6365,Order,2:32:22,20
44,2615,Order,20:54:29,12
45,2171,Not Delivered,16:24:42,7
46,9579,Delivered,0:37:16,1
47,4887,Order,15:53:14,15
48,8543,Delivered,6:27:52,11
49,7448,Not Delivered,19:30:45,11
50,3205,Not Delivered,10:02:03,9
51,694,Delivered,17:00:59,19
52,9664,Delivered,18:09:09,16
53,3170,Delivered,18:58:00,8
54,7525,Order,0:43:02,15
55,9637,Order,8:31:34,11
56,333,Not Delivered,18:38:04,7
57,7966,Not Delivered,7:10:33,4
58,5664,Order,0:36:39,8
59,8843,Order,20:22:57,3
60,2814,Not Delivered,3:43:48,13
61,9073,Not Delivered,8:54:15,12
62,7180,Order,12:40:06,19
63,3872,Delivered,0:36:23,5
64,8336,Not Delivered,"1 day, 0:30:31",13
65,309,Order,21:28:19,5
66,4525,Not Delivered,5:06:59,8
67,8971,Not Delivered,4:01:11,20
68,6335,Order,8:48:31,15
69,7558,Delivered,6:43:53,11
70,9296,Order,13:45:55,20
71,6394,Delivered,16:21:21,12
72,7113,Not Delivered,2:33:49,18
73,3177,Order,23:15:12,8
74,9563,Delivered,15:07:24,20
75,797,Delivered,5:38:35,2
76,6698,Delivered,20:48:26,14
77,3824,Not Delivered,14:53:57,1
78,679,Not Delivered,0:48:11,2
79,786,Order,13:18:28,1
80,4462,Not Delivered,19:38:52,1
81,3425,Delivered,6:34:14,9
82,2499,Delivered,"1 day, 0:36:36",11
83,8869,Order,12:36:40,20
84,5779,Order,6:48:08,19
85,3527,Order,12:49:28,1
86,9378,Delivered,0:27:41,20
87,5450,Delivered,4:09:18,15
88,5265,Order,21:34:53,3
89,3041,Delivered,17:28:50,2
90,1886,Delivered,13:57:06,18
91,3910,Not Delivered,0:13:50,10
92,9512,Not Delivered,8:20:57,4
93,6234,Not Delivered,7:03:04,5
94,1564,Order,"1 day, 0:50:11",2
95,5690,Not Delivered,4:17:40,13
96,9997,Not Delivered,8:10:51,10
97,2335,Delivered,13:42:59,3
98,8781,Delivered,18:58:20,6
99,1096,Not Delivered,5:50:44,11
100,5697,Order,3:29:04,3
101,6430,Not Delivered,6:05:24,18
102,3276,Delivered,0:39:24,4
103,7621,Order,23:09:07,18
104,7784,Not Delivered,6:24:20,16
105,2444,Not Delivered,13:42:34,3
106,6608,Order,1:50:18,10
107,4683,Order,19:32:52,11
108,1183,Order,0:46:00,10
109,2753,Not Delivered,0:26:22,11
110,9049,Delivered,4:06:17,12
111,6351,Delivered,7:11:32,7
112,9379,Not Delivered,2:07:55,17
113,6174,Order,3:46:08,15
114,9255,Delivered,13:02:06,2
115,4074,Order,20:52:02,6
116,9672,Delivered,14:48:20,8
117,8606,Not Delivered,23:19:52,8
118,6006,Not Delivered,10:38:45,15
119,2689,Not Delivered,11:06:31,9
120,2584,Order,14:19:33,1
121,7451,Delivered,21:10:26,5
122,235,Order,6:44:22,10
123,8748,Order,19:04:02,7
124,4014,Not Delivered,1:24:18,13
125,9328,Delivered,19:38:43,7
126,4507,Order,4:30:23,16
127,7890,Order,14:23:14,3
128,1237,Order,17:28:37,18
129,7545,Delivered,12:33:30,14
130,8754,Not Delivered,6:44:25,2
131,1122,Order,14:55:37,13
132,2904,Order,14:12:13,7
133,7027,Order,8:54:05,11
134,7502,Not Delivered,2:02:16,8
135,2339,Order,20:50:52,1
136,7142,Order,14:01:24,10
137,4039,Not Delivered,21:43:45,12
