order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,9,54,Pasta Alfredo,16-08-2023,23:59:58,Completed,314
2,11,15,Chicken Biryani,03-03-2023,23:59:48,Completed,411
3,5,8,Masala Dosa,05-08-2023,23:59:48,Completed,200
4,17,58,Chicken Shawarma,08-03-2023,23:59:42,Completed,259
5,7,22,Samosa,28-11-2023,23:59:39,Completed,201
6,12,53,Burger,24-08-2023,23:59:38,Completed,252
7,15,27,Mutton Rogan Josh,05-03-2023,23:59:32,Completed,340
8,18,27,Paneer Butter Masala,11-01-2023,23:59:15,Completed,317
9,1,29,Pasta Alfredo,04-09-2023,23:58:52,Completed,422
10,7,5,Paneer Lababdar,31-12-2023,23:58:33,Completed,332
11,13,28,Masala Dosa,28-06-2023,23:58:17,Completed,529
12,22,42,Mutton Biryani,21-10-2023,23:58:07,Completed,263
13,1,14,Egg Curry,06-05-2023,23:58:06,Completed,304
14,13,45,Prawn Masala,28-06-2023,23:58:05,Completed,266
15,18,46,Chole Bhature,10-09-2023,23:57:58,Completed,508
16,19,15,Chicken Shawarma,14-10-2023,23:57:56,Completed,309
17,9,37,Prawn Masala,14-04-2023,23:57:32,Completed,207
18,17,16,Masala Dosa,24-05-2023,23:57:32,Completed,324
19,6,20,Mutton Biryani,10-01-2023,23:57:30,Completed,298
20,5,56,Masala Dosa,23-01-2023,23:57:28,Completed,269
21,22,50,Paneer Lababdar,07-07-2023,23:57:27,Completed,331
22,7,25,Paneer Lababdar,04-08-2023,23:57:21,Completed,546
23,6,25,Mutton Biryani,03-03-2023,23:56:57,Completed,556
24,16,29,Prawn Masala,02-11-2023,23:56:56,Completed,210
25,7,5,Samosa,28-04-2023,23:56:51,Completed,259
26,19,4,Prawn Masala,18-04-2023,23:56:49,Completed,479
27,16,54,Chicken Burger,09-01-2023,22:16:10,Completed,379
28,32,22,Paneer Butter Masala,20-05-2023,01:46:29,Completed,233
29,18,52,Chicken Burger,03-06-2023,13:32:17,Completed,355
30,28,34,Pasta Alfredo,17-10-2023,01:34:54,Completed,504
31,30,24,Mutton Biryani,20-04-2023,06:10:48,Completed,505
32,10,19,Samosa,10-03-2023,00:06:59,Completed,357
33,26,1,Mutton Biryani,22-09-2023,22:47:55,Completed,354
34,1,49,Prawn Masala,05-09-2023,12:52:31,Completed,395
35,17,57,Chicken Burger,27-02-2023,08:21:44,Completed,565
36,11,3,Paneer Lababdar,04-01-2023,13:23:36,Completed,569
37,17,56,Chicken Burger,27-01-2023,21:41:46,Completed,471
38,9,5,Veg Biryani,04-02-2023,15:49:29,Completed,203
39,29,38,Masala Dosa,11-11-2023,05:53:19,Completed,412
40,16,60,Chicken Biryani,12-06-2023,09:33:06,Completed,232
41,18,29,Paneer Lababdar,06-07-2023,17:55:55,Completed,196
42,14,14,Veg Burger,24-03-2023,02:15:55,Completed,258
43,27,44,Masala Dosa,12-05-2023,14:10:43,Completed,534
44,24,53,Prawn Masala,28-02-2023,07:57:17,Completed,289
45,14,46,Butter Chicken,04-10-2023,17:51:39,Completed,566
46,27,14,Prawn Masala,24-08-2023,02:49:50,Completed,216
47,21,12,Butter Chicken,29-01-2023,11:33:45,Completed,412
48,8,29,Butter Chicken,20-06-2023,08:47:37,Completed,456
49,24,51,Masala Dosa,10-09-2023,07:30:45,Completed,409
50,14,7,Veg Biryani,19-09-2023,22:03:56,Completed,259
51,2,36,Chole Bhature,11-04-2023,20:37:45,Completed,241
52,32,57,Chole Bhature,06-06-2023,04:51:30,Completed,573
53,1,46,Rajma Chawal,04-02-2023,16:12:17,Completed,344
54,31,46,Chicken Biryani,28-07-2023,06:14:19,Completed,179
55,23,38,Samosa,13-01-2023,13:29:26,Completed,367
56,30,1,Chicken Burger,02-12-2023,09:13:50,Completed,386
57,11,47,Paneer Butter Masala,02-10-2023,13:06:24,Completed,486
58,29,35,Chicken Biryani,15-09-2023,13:51:54,Completed,543
59,9,16,Chole Bhature,28-06-2023,07:27:01,Completed,303
60,4,18,Paneer Butter Masala,30-12-2023,23:45:38,Completed,331
61,10,11,Mutton Biryani,12-10-2023,15:19:47,Completed,300
62,14,44,Paneer Lababdar,22-05-2023,00:33:25,Completed,455
63,14,13,Chicken Biryani,05-03-2023,02:38:04,Completed,372
64,8,32,Prawn Masala,15-07-2023,16:11:10,Completed,527
65,21,17,Veg Biryani,27-03-2023,15:38:23,Completed,397
66,32,29,Chicken Burger,31-10-2023,05:39:53,Completed,416
67,8,43,Paneer Lababdar,22-10-2023,06:50:20,Completed,311
68,30,45,Chole Bhature,22-08-2023,20:56:54,Completed,570
69,2,58,Paneer Butter Masala,24-10-2023,08:39:07,Completed,500
70,1,35,Rajma Chawal,25-02-2023,02:41:36,Completed,509
71,33,11,Chicken Burger,29-05-2023,13:56:25,Completed,484
72,30,37,Veg Biryani,26-10-2023,12:26:04,Completed,175
73,30,31,Samosa,08-03-2023,08:10:09,Completed,331
74,2,48,Rajma Chawal,08-04-2023,06:52:06,Completed,178
75,5,53,Paneer Butter Masala,04-09-2023,01:18:18,Completed,298
76,1,23,Veg Burger,08-03-2023,15:07:30,Completed,447
77,21,51,Butter Chicken,14-07-2023,19:31:07,Completed,173
78,21,44,Chole Bhature,04-03-2023,04:18:26,Completed,354
79,12,2,Rajma Chawal,25-11-2023,16:17:45,Completed,414
80,23,31,Paneer Butter Masala,16-06-2023,04:40:24,Completed,589
81,22,35,Veg Burger,26-07-2023,15:25:27,Completed,563
82,8,2,Paneer Butter Masala,05-06-2023,08:01:53,Completed,176
83,15,10,Veg Biryani,08-05-2023,02:13:40,Completed,375
84,21,44,Chicken Burger,08-12-2023,11:39:13,Completed,310
85,1,6,Veg Burger,20-08-2023,10:55:31,Completed,322
86,11,27,Egg Curry,04-06-2023,09:45:32,Completed,457
87,20,9,Prawn Masala,02-12-2023,14:01:27,Completed,429
88,9,7,Veg Biryani,06-09-2023,22:50:49,Completed,597
89,13,59,Rajma Chawal,13-10-2023,03:59:55,Completed,531
90,24,2,Chicken Biryani,18-09-2023,18:17:29,Completed,338
91,1,51,Chicken Biryani,03-08-2023,00:35:58,Completed,556
92,31,43,Pasta Alfredo,21-07-2023,02:17:46,Completed,599
93,32,31,Chicken Biryani,20-01-2023,05:21:32,Completed,247
94,4,32,Butter Chicken,11-11-2023,21:05:45,Completed,495
95,6,33,Samosa,29-08-2023,01:46:32,Completed,293
96,9,45,Egg Curry,04-06-2023,13:55:25,Completed,408
97,29,32,Pasta Alfredo,24-04-2023,03:11:36,Completed,502
98,33,58,Chicken Biryani,21-01-2023,13:45:56,Completed,189
99,27,10,Veg Biryani,05-09-2023,07:18:32,Completed,170
100,23,60,Egg Curry,27-02-2023,20:34:01,Completed,201
101,23,7,Rajma Chawal,10-07-2023,12:43:11,Completed,241
102,14,12,Butter Chicken,05-05-2023,21:37:52,Completed,558
103,2,2,Paneer Butter Masala,30-03-2023,04:03:18,Completed,233
